© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;
;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1965 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;
(Die Briefwahl ist nicht in den Kreisergebnissen enthalten, sondern wurde extra ausgewiesen.);;;;;;;;;;;
;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;Sonstige
06;202;Darmstadt;71550;61608;2074;59534;30532;20061;0;6011;2930
06;203;Dieburg;73007;64376;2076;62300;28707;25892;0;5005;2696
06;204;Erbach;47130;40000;1448;38552;19613;12883;0;4470;1586
06;205;Friedberg;113014;96073;2733;93340;44571;33981;0;10114;4674
06;206;Gießen;73036;62810;1863;60947;30588;18345;0;9535;2479
06;207;Groß-Gerau;121937;104827;2742;102085;55291;34062;0;8139;4593
06;208;Lauterbach;31340;25745;879;24866;11217;7986;0;4937;726
06;209;Offenbach;146510;126072;3053;123019;54999;51301;0;11029;5690
06;210;Fulda, Stadt;32153;26740;933;25807;8553;14719;0;1947;588
06;211;Kassel, Stadt;158236;123967;3765;120202;61733;37822;0;14741;5906
06;212;Marburg a.d. Lahn, Stadt;27728;21047;555;20492;7794;7971;0;3363;1364
06;213;Eschwege;47102;39430;1211;38219;19948;11187;0;5445;1639
06;214;Frankenberg;33803;27126;1000;26126;9600;8736;0;6942;848
06;215;Fritzlar-Homberg;54912;47124;1334;45790;23867;14672;0;6017;1234
06;216;Fulda;68016;60613;2377;58236;14931;38985;0;3476;844
06;217;Hersfeld;51719;43252;1509;41743;22440;12959;0;4655;1689
06;218;Hofgeismar;41178;35173;946;34227;17912;9338;0;5958;1019
06;219;Hünfeld;23424;20151;733;19418;4746;12880;0;1577;215
06;220;Kassel;60063;53129;1186;51943;32815;12770;0;4678;1680
06;221;Marburg;70131;58712;2031;56681;24435;23171;0;7103;1972
06;222;Melsungen;33186;28716;808;27908;15509;7262;0;4416;721
06;223;Rotenburg;40367;33876;1029;32847;16208;12779;0;2820;1040
06;224;Waldeck;63194;49455;1141;48314;19579;15075;0;11892;1768
06;225;Witzenhausen;36947;31269;889;30380;16311;9419;0;3934;716
06;226;Wolfhagen;26252;22058;563;21495;10866;6182;0;3829;618
06;227;Ziegenhain;36945;31155;1091;30064;14192;8585;0;6184;1103
06;228;Frankfurt am Main, Stadt;495041;368794;7825;360969;170238;126070;0;43221;21440
06;229;Hanau, Stadt;35194;28198;210;27988;13384;10175;0;2539;1890
06;230;Wiesbaden, Landeshauptstadt;188681;145611;3962;141649;64372;50918;0;18509;7850
06;231;Biedenkopf;40830;32856;1123;31733;14950;12426;0;3086;1271
06;232;Dillkreis;64731;51465;1525;49940;19522;22003;0;4840;3575
06;233;Gelnhausen;58310;50178;2681;47497;19696;21099;0;4927;1775
06;234;Hanau;74148;64396;2209;62187;31791;20738;0;5656;4002
06;235;Limburg;60280;51601;1497;50104;16836;28808;0;3349;1111
