© Der Bundeswahlleiter, Wiesbaden 2016;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ergebnisse der Bundestagswahl 1969 nach kreisfreien Städten und Landkreisen – Zweitstimmen –;;;;;;;;;;;;;
;;;;;;;;;;;;;
Land;Lfd. Nr.;Kreisfreie Stadt bzw. Stadtkreis, Landkreis bzw. Kreis;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;F.D.P.;NPD;ADF;Sonstige
07;259;Kaiserslautern, Stadt;68767;57633;797;56836;27721;20668;0;3726;4290;431;0
07;260;Landau in der Pfalz, Stadt;21019;17895;258;17637;6708;8245;0;1397;1207;80;0
07;261;Ludwigshafen am Rhein, Stadt;115180;99041;1330;97711;53618;34801;0;4742;3557;993;0
07;262;Mainz, Stadt;111222;97999;1025;96974;46666;38946;0;6694;3621;1047;0
07;263;Neustadt an der Weinstraße, Stadt;35610;31571;559;31012;12603;14309;0;1823;1984;293;0
07;264;Pirmasens, Stadt;39545;32809;766;32043;13664;13144;0;1939;2889;407;0
07;265;Speyer, Stadt;28017;24400;435;23965;10717;10545;0;1373;1058;272;0
07;266;Worms, Stadt;52753;45872;740;45132;22071;17061;0;2739;2674;587;0
07;267;Zweibrücken, Stadt;22575;19053;388;18665;8548;6792;0;1500;1675;150;0
07;268;Alzey-Worms;64540;56335;1173;55162;25185;18511;0;4395;6842;229;0
07;269;Bad Dürkheim;76877;66829;1316;65513;29306;27010;0;3838;5006;353;0
07;270;Donnersbergkreis;43916;37489;865;36624;17709;12324;0;2409;4075;107;0
07;271;Germersheim;55898;49773;1409;48364;16655;25774;0;3479;2250;206;0
07;272;Kaiserslautern;58379;50586;1063;49523;19969;22473;0;2570;4283;228;0
07;273;Kusel;55159;46345;1004;45341;23726;13049;0;2604;5223;739;0
07;274;Landau - Bad Bergzabern;66992;57772;1580;56192;18101;29138;0;4412;4338;203;0
07;275;Ludwigshafen;76681;69867;1538;68329;30425;31420;0;2837;3196;451;0
07;276;Mainz-Bingen;98622;87456;1262;86194;36644;37493;0;6723;4999;335;0
07;277;Pirmasens;52063;46259;1681;44578;13673;25907;0;2033;2818;147;0
07;278;Zweibrücken;20906;17308;655;16653;7053;6656;0;1202;1664;78;0
08;279;Heilbronn, Stadt;63976;54773;807;53966;26249;19687;0;5141;2415;367;107
